month	day	year	pent	sunq	taxon	direction	number	winddir	windforce	rain	snowfall	snow layer	temperature	mbar	visib	observer(s)
3	6	1984	13	3	Corvus frugilegus	Unknown	6	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	3	Alauda arvensis	Unknown	1	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	3	Anthus spinoletta	Unknown	1	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	3	Sturnus vulgaris	Unknown	6	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	3	Emberiza schoeniclus	Unknown	1	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	3	Turdus pilaris	Unknown	6	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	4	Sturnus vulgaris	NE	32	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	4	Sturnus vulgaris	E	5	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	4	Sturnus vulgaris	NE	9	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	4	Sturnus vulgaris	NE	5	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	4	Sturnus vulgaris	E	1	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	4	Carduelis chloris	NW	1	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	4	Carduelis chloris	W	1	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	4	Accipiter nisus	SE	1	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	4	Emberiza schoeniclus	NE	3	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	4	Fringilla coelebs	NE	3	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	4	Passer montanus	E	1	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	5	Emberiza citrinella	E	1	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	5	Turdus pilaris	W	40	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	5	Turdus pilaris	NW	22	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	5	Fringilla coelebs	Unknown	5	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	5	Alauda arvensis	Unknown	1	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	5	Sturnus vulgaris	NE	1	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	5	Sturnus vulgaris	NW	1	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	5	Sturnus vulgaris	N	1	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	5	Sturnus vulgaris	NW	2	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	5	Sturnus vulgaris	NE	21	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	5	Sturnus vulgaris	NE	14	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	5	Passer montanus	NW	1	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	5	Corvus frugilegus	W	11	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	5	Emberiza schoeniclus	NW	1	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	6	Sturnus vulgaris	NE	2	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	6	Sturnus vulgaris	NE	6	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	6	Sturnus vulgaris	NE	6	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	6	Columba oenas	NE	3	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	6	Alauda arvensis	NE	10	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	6	Alauda arvensis	Unknown	1	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	6	Alauda arvensis	NE	2	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	6	Alauda arvensis	NE	3	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	6	Anthus spinoletta	Unknown	1	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	6	Parus caeruleus	W	1	-9	-9	0	0	R	0	956	-9	1
3	6	1984	13	6	Turdus pilaris	W	6	-9	-9	0	0	R	0	956	-9	1
