month	day	year	obs-hours
3	6	1984	3
3	7	1984	3.25
3	8	1984	2
3	9	1984	2.5
3	10	1984	0.75
3	11	1984	6
3	12	1984	5.25
3	13	1984	6.25
3	14	1984	7
3	15	1984	4
3	16	1984	4.25
3	17	1984	6.25
3	18	1984	8
3	19	1984	6.5
3	20	1984	7.75
3	21	1984	6.75
3	22	1984	6
3	23	1984	7
3	24	1984	6.5
3	25	1984	2.25
3	26	1984	5.75
3	27	1984	6
3	28	1984	6.25
3	29	1984	3
3	30	1984	8
3	31	1984	6.25
4	1	1984	2.5
4	2	1984	1.25
4	3	1984	2.25
4	4	1984	3
4	5	1984	5
4	6	1984	2.5
4	7	1984	4.5
4	8	1984	3.75
4	9	1984	6
4	10	1984	6.75
4	11	1984	2.75
4	12	1984	5.5
4	13	1984	4.75
4	14	1984	7.5
4	15	1984	6
4	16	1984	4
4	17	1984	5
4	18	1984	4
4	19	1984	4.75
4	20	1984	6
4	21	1984	5.75
4	22	1984	5.25
4	23	1984	6
4	24	1984	5.25
4	25	1984	3
4	26	1984	5
4	27	1984	4
4	28	1984	4
4	29	1984	1.75
4	30	1984	4.25
5	1	1984	5
5	2	1984	5
5	3	1984	3
5	4	1984	3
5	5	1984	1.75
5	6	1984	2
5	7	1984	0
5	8	1984	0.5
5	9	1984	1
3	2	1985	2
3	3	1985	6
3	4	1985	7.5
3	5	1985	5.75
3	6	1985	6
3	7	1985	5.5
3	8	1985	4
3	9	1985	6.75
3	10	1985	6.25
3	11	1985	5.75
3	12	1985	1.75
3	13	1985	3.5
3	14	1985	4.25
3	15	1985	5.75
3	16	1985	5.75
3	17	1985	4
3	18	1985	1.5
3	19	1985	2.25
3	20	1985	4.5
3	21	1985	6.5
3	22	1985	7
3	23	1985	6.75
3	24	1985	6
3	25	1985	6.75
3	26	1985	5.5
3	27	1985	3.5
3	28	1985	6
3	29	1985	5
3	30	1985	5.5
3	31	1985	5.75
4	1	1985	6
4	2	1985	5
4	3	1985	5
4	4	1985	5.25
4	5	1985	5.5
4	6	1985	4
4	7	1985	4.75
4	8	1985	2
4	9	1985	2
4	10	1985	2
4	11	1985	5
4	12	1985	3.5
4	13	1985	2.5
4	14	1985	4
4	15	1985	4
4	16	1985	5
4	17	1985	5
4	18	1985	3.5
4	19	1985	5.75
4	20	1985	6
4	21	1985	6
4	22	1985	5.25
4	23	1985	4.75
4	24	1985	2
4	25	1985	5.75
4	26	1985	2.75
4	27	1985	5
4	28	1985	2
4	29	1985	3
4	30	1985	2
5	1	1985	3.75
5	2	1985	2
5	3	1985	3
5	4	1985	3.5
5	5	1985	2.5
5	6	1985	4
5	7	1985	3
3	3	1986	3
3	4	1986	2
3	5	1986	3.5
3	6	1986	6
3	7	1986	5
3	8	1986	4
3	9	1986	4.5
3	10	1986	4.25
3	11	1986	6.25
3	12	1986	3.5
3	13	1986	5.25
3	14	1986	6.5
3	15	1986	6.25
3	16	1986	3
3	17	1986	6
3	18	1986	6.25
3	19	1986	6.25
3	20	1986	5.5
3	21	1986	4.5
3	22	1986	5
3	23	1986	4
3	24	1986	5
3	25	1986	4
3	26	1986	4
3	27	1986	3.5
3	28	1986	5.5
3	29	1986	5
3	30	1986	5
3	31	1986	4.5
4	1	1986	5
4	2	1986	6.25
4	3	1986	4.5
4	4	1986	4
4	5	1986	3
4	6	1986	3
4	7	1986	6
4	8	1986	6
4	9	1986	4.5
4	10	1986	2
4	11	1986	2
4	12	1986	2.5
4	13	1986	4
4	14	1986	5.5
4	15	1986	5.5
4	16	1986	5.5
4	17	1986	3
4	18	1986	3
4	19	1986	4
4	20	1986	4
4	21	1986	4
4	22	1986	3.75
4	23	1986	2
4	24	1986	3.75
4	25	1986	5.25
4	26	1986	6
4	27	1986	4
4	28	1986	2
4	29	1986	1.5
4	30	1986	1.5
5	1	1986	4.5
5	2	1986	5.75
5	3	1986	4
5	4	1986	4
